Trial ID,Arm,Drug/Radiation Modality,Sequence,Dose/Timing,Notes
"PNOC003","Single arm","Everolimus (mTOR inhibitor) + BEV (bevacizumab) for recurrent DIPG","Targeted agents only (no new RT)","Everolimus PO daily + Bevacizumab IV q2 weeks; 28-day cycles","PNOC003: phase I/II trial in recurrent DIPG combining mTOR inhibition with anti-VEGF therapy."
"PNOC007","Single arm","Panitumumab (EGFR mAb) + everolimus + irinotecan for recurrent gliomas","Targeted + chemotherapy","Panitumumab IV q2wks, everolimus daily, irinotecan IV q2wks (on 28-day cycle)","PNOC007: tested multi-agent biologic therapy in children with recurrent high-grade gliomas."
"PBTC-026","Single arm","Lenalidomide (immune-modulator) + radiation for DIPG","Concurrent investigational therapy + RT","Lenalidomide PO daily during 6 weeks of RT (dose escalated)","PBTC-026: Pediatric Brain Tumor Consortium trial for DIPG, examining safety of lenalidomide with radiation:contentReference[oaicite:122]{index=122}."
"PBTC-027","Single arm","Cilengitide (integrin inhibitor) + radiation for DIPG","Concurrent targeted therapy + RT","Cilengitide IV bi-weekly during 6 weeks RT (dose escalation)","PBTC-027: phase I DIPG trial targeting angiogenesis (integrin αvβ3/β5)."
"PBTC-030","Single arm","Vorinostat + radiation for DIPG","Concurrent HDAC inhibitor + RT","Vorinostat PO 5 days/week during RT (6 weeks)","PBTC-030: tested histone deacetylase inhibition in newly diagnosed DIPG (similar to COG ACNS0621)."
"PBTC-033","Single arm","Modified regimen: Radiation + bevacizumab + temozolomide ± irinotecan (DIPG)","Concurrent chemoradiation ± targeted agent","Standard 54 Gy RT with concurrent TMZ ± irinotecan, Bev added","PBTC-033: pilot study for DIPG combining multiple agents with radiation (inspired by adult GBM protocols)."
"PBTC-045","Single arm","Paxalisib (PI3K/mTOR inhibitor) for DIPG","Targeted oral therapy (phase I)","Paxalisib daily continuously (28-day cycle), dose-escalation","PBTC-045: investigational targeted therapy trial in DIPG post-radiation."
"PNOC013","Arm A","Nivolumab (PD-1 inhibitor) + panobinostat (HDAC inhibitor) for DIPG","Immunotherapy + epigenetic therapy cycles","Nivo IV q2wks + Panobinostat PO 3x/week (every 28-day cycle)","PNOC013: multi-arm DIPG trial testing nivolumab combinations."
"PNOC013","Arm B","Nivolumab + everolimus (mTOR inhibitor) for DIPG","Immunotherapy + targeted therapy","Nivo IV q2wks + Everolimus daily (28-day cycles)","PNOC013 arm evaluating PD-1 blockade with mTOR inhibition in DIPG."
"CCG-A5971","Regimen B1 (CNS–, disseminated NHL)","BFM-style multi-agent chemo (no cranial radiation, CNS prophylaxis only)","Induction (COPADM) → Consolidation (CYM/CYM-A) → Maintenance","Standard BFM regimen (Prednisone, Vincristine, Doxorubicin, Cyclophosphamide, high-dose Methotrexate, Cytarabine, 6-MP) for disseminated NHL:contentReference[oaicite:123]{index=123}","CCG-A5971 for disseminated (Stage III/IV) lymphoblastic lymphoma (CNS-negative); Regimen B1 similar to BFM backbone without cranial irradiation:contentReference[oaicite:124]{index=124}"
"CCG-A5971","Regimen B2 (CNS+)",
"BFM-based chemo + CNS-directed therapy",
"Induction → Consolidation → Maintenance (with intensified CNS treatment)",
"BFM chemotherapy plus intrathecal therapy and cranial irradiation ~18 Gy for CNS-positive disease",
"Lymphoblastic NHL (Stage IV with CNS involvement) received cranial RT in addition to systemic chemo (Regimen B2)."
"CCG-A9952","Regimen A (low-intensity)",
"CV chemotherapy (Cyclophosphamide + Vincristine) for standard-risk Hodgkin",
"3 cycles chemo → low-dose involved field RT",
"Cyclophosphamide 800 mg/m² + Vincristine on Days 1,8 (alternating with ABVD for other arms); 15 Gy IF-RT",
"COG A9952 early-stage Hodgkin trial; Regimen A had minimal chemotherapy (CV) and low-dose radiation for favorable patients."
"CCG-A9952","Regimen B (ABVD chemotherapy)",
"ABVD (Adriamycin, Bleomycin, Vinblastine, Dacarbazine) ×4 → IF radiation",
"4 cycles ABVD → 25.5 Gy IF-RT",
"Standard arm for intermediate risk Hodgkin in A9952."
"DIPG-BATS","Arm 1","Radiation + Bevacizumab",
"6 weeks RT + concurrent bevacizumab → observation",
"54 Gy focal RT; Bev 10 mg/kg IV q2 weeks during RT",
"St. Jude “DIPG-BATS” trial: tested adding bevacizumab to radiation."
"DIPG-BATS","Arm 2","Radiation + Bevacizumab + Erlotinib (EGFR inhibitor)",
"RT + Bev + Erlotinib → observation",
"Erlotinib PO daily during RT (85 mg/m²); Bev as above",
"Arm 2 examined concurrent EGFR inhibition."
"DIPG-BATS","Arm 3","Radiation + Bevacizumab + Erlotinib + Temozolomide",
"RT + Bev+Erlotinib+TMZ → TMZ cycles post-RT",
"TMZ 75 mg/m² during RT + 6 cycles 200 mg/m² adjuvant; Bev+Erlotinib as above",
"Most intensive arm with chemoradiotherapy."
"DIPG-BATS","Arm 4","Radiation + Bevacizumab + Temozolomide",
"RT + Bev+TMZ → TMZ maintenance",
"TMZ given concurrently and adjuvantly; Bev during RT only",
"Tested if TMZ (standard chemo) adds benefit with Bev."
"GemPOx","Single regimen","Gemcitabine + Oxaliplatin chemotherapy (recurrent tumors)",
"21-day cycles chemo",
"Gemcitabine 1000 mg/m² IV Day 1,8; Oxaliplatin 100 mg/m² Day 1",
"GemPOx used for recurrent high-grade gliomas or ependymomas as salvage."
"DFMO","Single agent","Difluoromethylornithine (ornithine decarboxylase inhibitor)",
"Continuous oral therapy (maintenance)",
"Oral DFMO 500–1000 mg/m² BID continuously",
"Polyamine depletion strategy – studied in recurrent neuroblastoma and diffuse glioma maintenance."
"ETMR One","Single regimen","Multi-agent intensive chemotherapy + high-dose methotrexate (infant ETMR)",
"Induction chemo (with HD MTX) → Consolidation high-dose chemo + transplant",
"Regimen similar to infant medulloblastoma protocols (vincristine, MTX, etoposide, cyclophosphamide, carboplatin; then thiotepa-based HD chemo)",
"Experimental protocol for embryonal tumor with multilayered rosettes (ETMR) aiming to improve survival with intensive chemo."
